"Leaf age","Predictor","Original Rank","Final Rank","Change in Rank","Class","Notes"
"mature","X3.91_1011.4733m.z",1,1,0,"",""
"mature","X4.06_849.4213m.z",2,3,-1,"",""
"mature","X4.02_844.4675m.z",3,2,1,"",""
"mature","lat",5,4,1,"",""
"mature","lat",5,NA,NA,"",""
"mature","X7.50_599.4089m.z",7,6,1,"",""
"mature","X2.97_743.2017m.z",11,5,6,"",""
"mature","X6.71_651.2184m.z",26,9,17,"",""
"mature","log.abund",29,8,21,"",""
"mature","log.abund",29,NA,NA,"",""
"mature","reg.subtropical",31,NA,NA,"",""
"mature","X0.83_122.9253m.z",33,7,26,"",""
"mature","tough",110,NA,NA,"",""
"mature","C_N",181,NA,NA,"",""
"mature","percent_N",264,NA,NA,"",""
"mature","diversity",362,NA,NA,"",""
"mature","richness",645,NA,NA,"",""
"mature","reg.north_temperate",1278,NA,NA,"",""
"mature","reg.tropical",1479,NA,NA,"",""
"mature","spp.PHRI",1511,NA,NA,"",""
"mature","reg.temperate",1542,NA,NA,"",""
"young","lat",1,1,0,"",""
"young","X3.71_1011.4747m.z",2,4,-2,"",""
"young","X3.86_1120.5269n",3,3,0,"",""
"young","X4.28_810.4375n",4,5,-1,"",""
"young","X3.86_1139.5649m.z",6,13,-7,"",""
"young","X4.06_849.4213m.z",7,22,-15,"",""
"young","X3.69_1007.0195m.z",8,19,-11,"",""
"young","X4.16_1171.5483m.z",10,9,1,"",""
"young","X3.82_972.4884n",11,18,-7,"",""
"young","X4.16_1194.6190m.z",12,14,-2,"",""
"young","X3.69_988.4845n",14,12,2,"",""
"young","X4.05_872.4949m.z",15,20,-5,"",""
"young","X4.14_1166.6746m.z",16,11,5,"",""
"young","X4.02_844.4675m.z",17,10,7,"",""
"young","X3.69_1034.5474m.z",18,7,11,"",""
"young","X4.09_1149.5928n",23,6,17,"",""
"young","X3.99_1141.5348m.z",24,2,22,"",""
"young","X0.96_162.0228m.z",29,17,12,"",""
"young","X4.14_483.3462m.z",38,15,23,"",""
"young","reg.subtropical",95,NA,NA,"",""
"young","X7.50_242.2837m.z",118,8,110,"",""
"young","X4.76_1029.4771m.z",120,24,96,"",""
"young","X7.45_780.5679n",123,21,102,"",""
"young","X6.46_470.3669m.z",127,16,111,"",""
"young","C_N",166,NA,NA,"",""
"young","log.abund",201,NA,NA,"",""
"young","X4.79_276.1584m.z",208,23,185,"",""
"young","percent_N",251,NA,NA,"",""
"young","reg.temperate",411,NA,NA,"",""
"young","diversity",676,NA,NA,"",""
"young","tough",695,NA,NA,"",""
"young","richness",860,NA,NA,"",""
"young","reg.tropical",1256,NA,NA,"",""
"young","spp.PHRI",1386,NA,NA,"",""
"young","reg.north_temperate",1510,NA,NA,"",""
