"line_age","surv","logarea"
"Bella_13_mature",4.75,0.720270437883349
"Bella_13_young",0.333333333333333,0.130624021758499
"Bella_2_mature",3.5,0.620914505425098
"Bella_2_young",0,0.20968025078624
"Bella_21_mature",3.25,0.492462371034798
"Bella_21_young",0,0.287702668053726
"Bella_3_mature",4.75,0.642972695060732
"Bella_3_young",0.333333333333333,0.227096481660709
"Bella_4_mature",4.75,0.632629384354502
"Caesar_10_mature",4.25,0.657859526793399
"Caesar_10_young",2,0.576432698800458
"Caesar_5_mature",4.5,0.700571110545578
"Caesar_5_young",3,0.615807337570787
"Caesar_7_mature",4.5,0.747249407219726
"Caesar_7_young",2.33333333333333,0.520777324279139
"Caesar_9_mature",3.75,0.664841320135821
"Caesar_9_young",2,0.534766227640154
"Center Hill_1_mature",3.25,0.625225515270964
"Center Hill_1_young",2.66666666666667,0.542574048830594
"Center Hill_2_mature",4.5,0.664841320135821
"Center Hill_2_young",3,0.521918189776926
"Center Hill_3_mature",4.5,0.691432145437862
"Center Hill_3_young",2.33333333333333,0.459647365526037
"Center Hill_7_mature",4,0.583333163894932
"Center Hill_7_young",2.33333333333333,0.44478009669446
"Center Hill_8_mature",4.25,0.688145702212144
"Center Hill_8_young",2.33333333333333,0.558361893346004
"Dalton_2_mature",4.25,0.660763002986141
"Dalton_2_young",2.66666666666667,0.564717697517505
"Dalton_4_mature",4.5,0.658510597053114
"Dalton_4_young",2,0.461617723786512
"Dalton_6_mature",4.5,0.714181413702812
"Dalton_6_young",3,0.559176537574951
"Dalton_8_mature",3.75,0.668790769363589
"Dalton_8_young",1.66666666666667,0.427611633825525
"Dalton_9_mature",3,0.533824674284835
"Dalton_9_young",1.66666666666667,0.470977174720948
"Gav_1_mature",4,0.669981299895478
"Gav_1_young",1,0.18901730989453
"Gav_22_mature",4,0.55730007518868
"Gav_22_young",0,0.18901730989453
"Gav_23_mature",4,0.603866496674435
"Gav_23_young",0,0.0834943161067606
"Gav_6_mature",4,0.607987104090481
"Gen Butler_1_mature",3.25,0.689419964792407
"Gen Butler_1_young",1.66666666666667,0.532209316077926
"Gen Butler_2_mature",4.75,0.739681147354933
"Gen Butler_2_young",2.66666666666667,0.571458635695234
"Gen Butler_3_mature",5,0.675486449217866
"Gen Butler_3_young",1.66666666666667,0.4007382811639
"Gen Butler_7_mature",4.75,0.688145702212144
"Gen Butler_7_young",1.33333333333333,0.493634725458102
"Gen Butler_9_mature",4.25,0.681841633570056
"Gen Butler_9_young",2,0.440139430108329
"HV_10_mature",4.5,0.654887002187021
"HV_10_young",2,0.497942297657932
"HV_13_mature",4.25,0.727018580415152
"HV_13_young",2.66666666666667,0.627372930881507
"HV_3_mature",3.75,0.709950776963938
"HV_3_young",1.33333333333333,0.410436383930915
"HV_5_mature",3.75,0.653542845415017
"HV_5_young",2,0.469167295311374
"HV_7_mature",4,0.719873602077365
"HV_7_young",2.33333333333333,0.559176537574951
"Hwy 27_1_mature",3.75,0.58392422624744
"Hwy 27_1_young",1.33333333333333,0.20968025078624
"Hwy 27_2_mature",4.25,0.577883937140472
"Hwy 27_2_young",1.33333333333333,0.242149096120262
"Hwy 27_3_mature",3.5,0.637332369211726
"Hwy 27_3_young",1,0.227096481660709
"Hwy 27_6_mature",3.5,0.533824674284835
"Hwy 27_6_young",1.33333333333333,0.277943652421668
"Hwy 27_8_mature",3.75,0.582142588016607
"Hwy 27_8_young",0.333333333333333,0.130624021758499
"KBS_12_mature",4,0.60251868755415
"KBS_12_young",1.33333333333333,0.449234686906508
"KBS_2_mature",4.5,0.719475502428757
"KBS_2_young",2.33333333333333,0.517282712480959
"KBS_5_mature",4,0.645640233735638
"KBS_5_young",2.33333333333333,0.47275804505447
"KBS_8_mature",4.5,0.65588571848626
"KBS_8_young",2.66666666666667,0.553344466220946
"KBS_9_mature",4.75,0.672037827822538
"KBS_9_young",2,0.41935554186476
"MacArthur_15_mature",3.75,0.503033634208339
"MacArthur_15_young",1.66666666666667,0.277943652421668
"MacArthur_16_mature",4.5,0.596266968130669
"MacArthur_16_young",1.66666666666667,0.312696520215107
"MacArthur_21_mature",3,0.520195709986828
"MacArthur_21_young",0,0
"MacArthur_22_mature",4.5,0.546378363217356
"MacArthur_22_young",1.33333333333333,0.163613315454888
"MacArthur_5_mature",3.25,0.538998397220123
"MacArthur_5_young",1.66666666666667,0.227096481660709
"McPhee_1_mature",3.25,0.630209829128288
"McPhee_1_young",1.66666666666667,0.465456617752394
"McPhee_2_mature",3.5,0.717059906099432
"McPhee_2_young",2,0.559985252443426
"McPhee_6_mature",4.5,0.733242559305419
"McPhee_6_young",3,0.546281407993074
"McPhee_7_mature",3.25,0.693657793949149
"McPhee_7_young",2.33333333333333,0.44478009669446
"McPhee_8_mature",4.75,0.734309446387846
"McPhee_8_young",2.33333333333333,0.514890376338734
"OCM_10_mature",4,0.580940563237239
"OCM_10_young",1.66666666666667,0.326697587633588
"OCM_16_mature",3.75,0.619591667118361
"OCM_16_young",2,0.482882487395171
"OCM_17_mature",3.75,0.612289895331274
"OCM_17_young",2.66666666666667,0.512445395166589
"OCM_18_mature",4.5,0.64695295510275
"OCM_18_young",2,0.479609116896732
"OCM_5_mature",4.25,0.680214656100692
"OCM_5_young",3,0.539710024733386
"Tiri_1_mature",4.25,0.65818548581526
"Tiri_12_mature",3.75,0.615537023884979
"Tiri_12_young",0.666666666666667,0.350310597203143
"Tiri_16_mature",3.25,0.558510264843187
"Tiri_16_young",0,0.18901730989453
"Tiri_22_mature",4.5,0.734839494501724
"Tiri_22_young",0.666666666666667,0.242149096120262
"Tiri_5_mature",4.5,0.641493317840899
"Tiri_5_young",0,0
"TT_10_mature",3,0.727767103570089
"TT_10_young",3,0.535772741372166
"TT_25_mature",4.75,0.628570375383292
"TT_25_young",2,0.463553749190146
"TT_5_mature",4,0.666069879538829
"TT_5_young",2.66666666666667,0.520777324279139
"TT_7_mature",4.5,0.61166171543498
"TT_7_young",2,0.47275804505447
"TT_9_mature",4.25,0.647308590303517
"TT_9_young",2.66666666666667,0.550748148549654
"Whitehall_16_mature",3.5,0.61322628539729
"Whitehall_16_young",1.66666666666667,0.382417704708506
"Whitehall_17_mature",4.25,0.64977010267984
"Whitehall_17_young",2,0.555881498774322
"Whitehall_18_mature",3.75,0.597859454523346
"Whitehall_18_young",1.33333333333333,0.432793447283627
"Whitehall_2_mature",3.75,0.575383653815745
"Whitehall_2_young",3,0.539710024733386
"Whitehall_3_mature",4.25,0.586838328440699
"Whitehall_3_young",1.33333333333333,0.427611633825525
"With_42_mature",4,0.535573150123198
"With_42_young",1.33333333333333,0.227096481660709
"With_43_mature",4.25,0.60251868755415
"With_43_young",1,0.319917441798336
"With_46_mature",3.5,0.500760513751021
"With_46_young",1.33333333333333,0.227096481660709
"With_47_mature",3,0.54796082303998
"With_47_young",0.666666666666667,0.130624021758499
"With_48_mature",3.5,0.572186286951326
"With_48_young",2,0.304973504022732
